Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,143.660004,146.740005,143.660004,146.339996,146.339996,32541400
2017-06-20,146.869995,146.869995,144.940002,145.009995,145.009995,24900100
2017-06-21,145.520004,146.070007,144.610001,145.869995,145.869995,21265800
2017-06-22,145.770004,146.699997,145.119995,145.630005,145.630005,19106300
2017-06-23,145.130005,147.160004,145.110001,146.279999,146.279999,35439400
2017-06-26,147.169998,148.279999,145.380005,145.820007,145.820007,25692400
2017-06-27,145.009995,146.160004,143.619995,143.729996,143.729996,24761900
2017-06-28,144.490005,146.110001,143.160004,145.830002,145.830002,22082400
2017-06-29,144.710007,145.130005,142.279999,143.679993,143.679993,31499400
2017-06-30,144.449997,144.960007,143.779999,144.020004,144.020004,23024100
2017-07-03,144.880005,145.300003,143.100006,143.500000,143.500000,14258300
2017-07-05,143.690002,144.789993,142.720001,144.089996,144.089996,21569600
2017-07-06,143.020004,143.500000,142.410004,142.729996,142.729996,24128800
2017-07-07,142.899994,144.750000,142.899994,144.179993,144.179993,19201700
2017-07-10,144.110001,145.949997,143.369995,145.059998,145.059998,21090600
2017-07-11,144.729996,145.850006,144.380005,145.529999,145.529999,19781800
2017-07-12,145.869995,146.179993,144.820007,145.740005,145.740005,24884500
2017-07-13,145.500000,148.490005,145.440002,147.770004,147.770004,25199400
2017-07-14,147.970001,149.330002,147.330002,149.039993,149.039993,20132100
2017-07-17,148.820007,150.899994,148.570007,149.559998,149.559998,23793500
2017-07-18,149.199997,150.130005,148.669998,150.080002,150.080002,17804800
